Kotijoukkue,Vierasjoukkue,Kotijoukkueen_maalit,Vierasjoukkueen_maalit,Kotijoukkueen_kerroin,Tasapelikerroin,Vierasjoukkueen_kerroin,Kotil,Vierasl,Kotijoukkue_laukausten_ka,Vierasjoukkue_laukausten_ka,Kotijoukkue_koti_laukausten_ka,Kotijoukkue_vieras_laukausten_ka,Vierasjoukkue_koti_laukausten_ka,Vierasjoukkue_vieras_laukausten_ka
Arsenal,West Ham,0,1,1.28,5.6,11.84,20,5.0,12.0,14.0,12.0,10.0,13.0,14.0
Aston Villa,Chelsea,2,1,2.62,3.5,2.64,12,15.0,16.0,9.0,16.0,10.0,23.0,9.0
Bournemouth,Wolves,0,1,1.64,4.16,5.17,8,13.0,15.5,16.0,15.5,14.0,8.5,16.0
Everton,Manchester Utd,2,2,2.64,3.12,2.91,9,9.0,11.5,10.0,11.5,7.5,17.0,10.0
Fulham,Crystal Palace,0,2,2.08,3.43,3.71,10,10.0,16.5,11.0,16.5,15.0,16.5,11.0
Sunderland,Tottenham,1,4,3.38,3.77,2.06,17,10.0,15.0,13.0,15.0,3.5,18.5,13.0
Burnley,Brighton,0,4,5.65,4.46,1.56,6,18.0,11.5,10.0,11.5,9.0,14.5,10.0
Leeds,Brentford,0,4,3.65,3.8,1.98,8,14.0,6.0,13.5,6.0,10.5,20.0,13.5
Aston Villa,Liverpool,2,2,3.83,3.96,1.89,9,17.0,19.5,12.5,19.5,10.0,13.0,12.5
Liverpool,Wolves,2,1,1.23,6.91,11.73,10,16.0,16.0,11.14,16.0,12.5,8.5,11.14
Tottenham,Manchester Utd,1,0,2.2,3.82,3.07,22,16.0,15.0,4.0,15.0,13.0,17.0,4.0
Aston Villa,Sunderland,1,1,1.42,4.93,7.13,25,4.0,14.0,3.0,14.0,10.0,15.0,3.0
Crystal Palace,Everton,1,2,2.02,3.14,4.37,17,11.0,16.0,4.0,16.0,11.0,11.5,4.0
Fulham,Nottingham,2,1,2.15,3.43,3.49,24,8.0,9.0,18.0,9.0,15.0,14.0,18.0
Leeds,Arsenal,0,2,9.9,5.36,1.32,6,11.0,10.12,9.0,10.12,10.5,12.0,9.0
Manchester City,Newcastle,4,0,2.06,4.01,3.25,11,3.0,15.0,17.0,15.0,7.0,11.0,17.0
Burnley,Bournemouth,1,3,6.03,4.69,1.5,11,14.0,12.0,14.12,12.0,9.0,15.5,14.12
West Ham,Brentford,0,1,2.38,3.63,2.88,13,14.0,11.14,13.0,11.14,14.0,20.0,13.0
Brighton,Chelsea,3,0,2.93,3.65,2.34,13,8.0,16.0,10.0,16.0,10.0,23.0,10.0
Everton,Liverpool,2,2,7.32,4.5,1.46,10,6.0,13.0,19.0,13.0,4.0,16.0,19.0
Chelsea,West Ham,2,1,1.29,6.25,9.39,23,14.0,18.22,14.0,18.22,10.0,11.14,14.0
Arsenal,Manchester City,5,1,1.9,3.93,3.83,12,7.0,14.0,14.38,14.0,9.0,15.0,14.38
Brentford,Tottenham,0,2,1.99,4.1,3.36,20,13.0,13.29,,13.29,13.0,15.0,
Manchester Utd,Crystal Palace,0,2,1.78,3.64,4.78,17,11.0,16.0,11.67,16.0,4.0,16.0,11.67
Bournemouth,Liverpool,0,2,4.48,4.21,1.71,14,19.0,17.0,15.12,17.0,14.12,16.0,15.12
Everton,Leeds,4,0,1.94,3.35,4.33,13,9.0,10.0,12.0,10.0,4.0,10.12,12.0
Sunderland,Burnley,1,2,1.91,3.64,4.04,15,9.0,11.0,9.62,11.0,3.0,12.0,9.62
Newcastle,Fulham,1,2,1.73,3.86,4.8,11,15.0,16.12,12.56,16.12,17.0,9.0,12.56
Nottingham,Brighton,7,0,2.63,3.39,2.71,14,10.0,10.78,13.86,10.78,18.0,16.0,13.86
Wolves,Aston Villa,2,0,3.17,3.43,2.3,8,10.0,9.0,11.25,9.0,11.14,14.0,11.25
Aston Villa,West Ham,1,1,1.47,4.75,6.42,14,14.0,12.89,10.7,12.89,11.25,11.14,10.7
Crystal Palace,Brentford,1,2,1.97,3.75,3.69,16,13.0,14.75,11.5,14.75,11.67,13.29,11.5
Fulham,Manchester Utd,0,1,2.38,3.43,3.0,9,4.0,13.12,13.56,13.12,12.56,16.0,13.56
Tottenham,Leeds,1,2,1.51,4.88,5.55,15,12.0,13.56,8.0,13.56,,10.12,8.0
Bournemouth,Nottingham,5,0,1.98,3.63,3.78,17,18.0,14.44,12.38,14.44,14.12,10.78,12.38
Brighton,Everton,0,1,1.7,3.73,5.31,16,4.0,13.7,9.7,13.7,13.86,10.0,9.7
Liverpool,Sunderland,4,1,1.1,11.28,21.19,16,3.0,16.8,10.33,16.8,15.12,11.0,10.33
Manchester City,Chelsea,3,1,2.34,3.77,2.83,15,10.0,14.11,11.38,14.11,14.38,18.22,11.38
Burnley,Newcastle,1,3,6.45,4.9,1.46,12,17.0,7.78,11.22,7.78,9.62,16.12,11.22
Wolves,Arsenal,0,1,5.83,4.05,1.6,9,9.0,12.5,15.0,12.5,11.14,14.0,15.0
